"Higher Level Collection","Collection ID","Collection or Subsection Name","Main Collection or Subsection","Date Created","Record ID","Primary Seed","Title of Target","Description","Language","Licence Status","LD Criteria","Institution ID","Updated","Depth","Scope","Robots.txt","Crawl Frequency","Crawl Start Date","Crawl End Date"
NULL,1230,Scottish Churches,Main Collection,2018-03-06 09:41:52.044,62188,https://cfkchurch.wordpress.com/,"Creich, Flisk and Kilmany Church","Site of a Church of Scotland parish church covering the communities of Creich, Flisk and Kilmany in Fife.",EN,NULL,false,3,2018-07-18 09:30:48.879,CAPPED_LARGE,root,true,ANNUAL,2018-03-07 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-04 14:08:11.363,63628,http://www.ardrossanparkchurch.org/,Ardrossan Park Church,"",EN,PENDING,false,3,2018-07-18 09:32:15.410,CAPPED,root,NULL,ANNUAL,2018-05-11 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2017-03-02 13:03:34.647,49942,http://www.aboyne-dinnet-cromar-churches.org.uk/,Aboyne-Dinnet linked with Cromar Parish Churches,Website for the linked Aboyne-Dinnet and Cromar Parishes. ,EN,PENDING,false,3,2018-07-18 09:28:08.236,CAPPED,root,NULL,SIXMONTHLY,2017-03-03 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-09 08:57:08.681,63806,http://www.ardler-kettins-meigle.org.uk/,"Ardler, Kettins and Meigle Parish Church","",EN,NULL,false,3,2018-07-18 09:31:58.776,CAPPED,root,true,ANNUAL,2018-05-31 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-13 16:12:28.039,64287,http://www.avochchurch.co.uk/,Avoch Church,"",EN,PENDING,false,3,2018-07-18 09:33:01.323,CAPPED,root,NULL,ANNUAL,2018-05-11 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-05 11:51:33.793,63675,http://www.auldkirk.org/,Auld Kirk of Ayr,"",EN,PENDING,false,3,2018-07-18 09:32:42.762,CAPPED_LARGE,root,true,ANNUAL,2018-06-06 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-05 12:08:47.420,63676,http://www.ayrstcolumba.co.uk/,Ayr St. Columba Church,"",EN,NULL,false,3,2018-07-18 09:33:36.198,CAPPED,root,NULL,ANNUAL,2018-04-18 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-06 11:17:10.433,63730,http://www.balgaychurch.org.uk/,Balgay Parish Church,"",EN,PENDING,false,3,2018-07-18 09:34:37.980,CAPPED,root,true,ANNUAL,2018-06-06 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-06 11:31:51.946,63732,http://bsmchurch.org.uk/,Barnhill St. Margaret's Parish Church,"",EN,PENDING,false,3,2018-07-18 09:37:29.724,CAPPED,root,NULL,ANNUAL,2018-04-19 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-09 10:18:46.041,63818,http://www.balernochurch.org.uk/,Balerno Parish Church,"",EN,PENDING,false,3,2018-07-18 09:34:21.400,CAPPED_LARGE,root,true,ANNUAL,2018-05-31 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-13 10:28:10.602,64228,http://www.thekirkcentre.org.uk/,Banchory Devenick and Maryculter-Cookney Parish Church,"",EN,NULL,false,3,2018-07-18 09:35:57.105,CAPPED,root,NULL,DOMAINCRAWL,2018-04-14 00:00:00.000,2018-04-20 00:00:00.000
NULL,1230,Scottish Churches,Main Collection,2018-04-13 09:56:26.929,64222,http://www.banchorywestchurch.com/,Banchory West Church,"",EN,PENDING,false,3,2018-07-18 09:36:12.942,CAPPED,root,NULL,ANNUAL,2018-05-11 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-09 15:28:35.561,63877,http://www.barlanark-greyfriars.co.uk/,Barlanark-Greyfriars Parish Church,"",EN,PENDING,false,3,2018-07-18 09:36:26.793,CAPPED_LARGE,root,true,WEEKLY,2018-05-31 09:00:00.000,2018-06-06 00:00:00.000
NULL,1230,Scottish Churches,Main Collection,2018-04-03 11:47:17.023,63548,https://www.bathgatehigh.com/,Bathgate High Church,The website of Bathgate High Parish Church.,EN,PENDING,false,3,2018-07-18 09:38:52.652,CAPPED,root,NULL,ANNUAL,2018-04-18 09:00:00.000,NULL
